"common_name","scientific_name","city","state","native","diameter_breast_height_binned_CM","greater_metro","city_ID","tree_ID","planted_date","most_recent_observation","retired_date","most_recent_observation_type","longitude_coordinate","latitude_coordinate","location_type","zipcode","address","neighborhood","location_name","ward","district","overhead_utility","diameter_breast_height_CM","condition","height_M","height_binned_M","percent_population"
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurel oak","Quercus laurifolia","Orlando","Florida","naturally_occurring","0 to 15.24 cm","Orlando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
